MasterSite,TRANSECT,QUADRAT,PACK_COV,COMP_COV,INVASIVE_COV,NECTAR_COV,OPENSOIL_COV,ROCKS_COV ,BRYO_COV,SLOPE_DEG,ASPECT,SOILDEPTH1,SOILDEPTH2,SOILDEPTH3 ,SOILDEPTH4 ,SOILDEPTH5,CANOPY_OPENNESS%,TRANS_TOTALLIGHT,40S_HYDROMETER ,120M_HYDROMETER ,SAND%,SILT%,CLAY%,OM%,YELLOW_OAK ,OTHER_OAK ,HICKORY,SUGAR_MAPLE,DOGWOOD,HOP_HORNBEAM,WITCH_HAZEL,SHADBUSH,BASSWOOD,HEMLOCK,CEDAR ,HONEYSUCKLE,ASH ,ASPEN ,TULIPTREE,IRONWOOD ,RED_MAPLE ,PAPER_BIRCH 
Kent1,1,4,0,40,15,25,30,5,NA,24,191,67,57,56,82,70,24.79,13.59,17,2.5,66,29,5,11.66,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,1,2,5,30,1,0,60,2,NA,38,226,51,45,32,33,58,24.56,13.94,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,1,3,25,10,1,0,60,0,NA,28,221,63,38,63,64,47,40.09,27.28,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,1,1,80,20,1,3,2,0,NA,26,231,14,0,0,6,0,17.88,13.34,13.5,2,73,23,4,10.45,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,3,1,70,10,0,0,2,0,1,28,2,28,28,38,54,40,49.76,15.74,17,2.5,66,29,5,13.61,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kent1,3,2,2,5,0,0,1,0,80,34,8,0,39,51,51,62,54.72,20.66,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kent1,3,3,15,10,0,0,10,3,0,38,27,47,59,71,73,70,63.2,19.34,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Kent1,3,4,0.5,3,2,0,2,0,1,27,358,64,57,49,55,35,68.33,31.18,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Kent1,2,4,3,35,2,1,60,2,0,34,215,62,60,54,61,48,28.92,14.66,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kent1,2,1,10,40,2,1,50,0,0,32,224,70,66,56,65,50,29.42,18.55,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,2,2,30,15,1,1,60,1,3,30,221,84,69,73,61,63,36.51,23.59,11,0.5,78,21,1,7.12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kent1,2,3,0,50,5,2,50,3,1,43,214,49,66,57,64,26,20.37,9.18,12.5,3,75,19,6,8.02,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
