PackeraCover,CanopyOpen,Aspect,Slope,TotalLight,BareSoil,SiteName
0,24.79,191,24,13.59,30,Kent1
5,24.56,226,38,13.94,60,Kent1
25,40.09,221,28,27.28,60,Kent1
80,17.88,231,26,13.34,2,Kent1
70,49.76,2,28,15.74,2,Kent1
2,54.72,8,34,20.66,1,Kent1
15,63.2,27,38,19.34,10,Kent1
0.5,68.33,358,27,31.18,2,Kent1
3,28.92,215,34,14.66,60,Kent1
10,29.42,224,32,18.55,50,Kent1
30,36.51,221,30,23.59,60,Kent1
0,20.37,214,43,9.18,50,Kent1
20,11.9,218,12,9.64,2,Kent2
15,10.72,250,30,6.99,5,Kent2
0,14.71,299,26,9.89,0,Kent2
1,20.82,178,14,9.28,0,Kent2
40,18.54,326,15,7.76,0,Kent2
0,24.37,291,20,12.38,50,Kent2
7,18.45,297,17,7.21,3,Kent2
5,18.62,357,9,12.05,7,Kent2
5,22.88,296,50,12.51,1,Kent2
0,19.32,275,41,11.31,1,Kent2
10,11.41,302,36,4.89,5,Kent2
3,13.78,291,41,5.08,2,Kent2
50,23.06,293,32,11.41,2,Kent2
0,23.69,288,20,14,0,Kent2
25,22.41,275,41,14.13,15,Kent2
5,23.02,280,24,11.01,0,Kent2
0,20.67,321,16,13.04,7,Kent2
50,17.59,260,12,9.28,0,Kent2
7,11.59,328,15,7.43,0,Kent2
15,16.04,334,13,8.81,1,Kent2
90,12.34,118,6,10.44,0,Kent2
7,19.2,306,22,11.49,2,Kent2
2,13.18,318,22,7.08,0,Kent2
0,19.92,287,54,14.83,25,Kent2
15,31.67,294,12,21.55,50,Kent3
15,24.86,358,28,9.02,0,Kent3
3,19.46,340,13,8.36,0,Kent3
0,27.21,316,22,13.25,0,Kent3
40,22.09,307,20,11.98,10,Kent3
15,24.52,350,19,9.84,30,Kent3
3,32.53,294,18,13.97,15,Kent3
0,53.71,284,21,32.54,10,Kent3
20,31.6,263,6,21.15,25,Kent3
25,19.06,222,14,7.59,60,Kent3
0,23.53,297,27,12.61,10,Kent3
7,66.67,288,12,35.9,15,Kent3
