DATE,OBSERVER
2017-06-28,A
2017-06-29,A
2017-06-30,A
2017-07-01,A
2017-07-02,A
2017-07-03,A
2017-07-04,A
2017-07-05,A
2017-07-06,A
2017-07-07,A
2017-07-08,A
2017-07-09,A
2017-07-10,A
2017-07-11,A
2017-07-12,A
2017-07-13,A
2017-07-14,A
2017-07-15,A
2017-07-16,A
2017-07-17,A
2017-07-18,A
2017-07-19,A
2017-07-20,A
2017-07-21,A
2017-07-22,A
2017-07-23,A
2018-06-29,B
2018-06-30,B
2018-07-01,B
2018-07-02,B
2018-07-03,B
2018-07-04,B
2018-07-05,B
2018-07-06,B
2018-07-07,B
2018-07-08,B
2018-07-09,C
2018-07-10,C
2018-07-11,C
2018-07-12,C
2018-07-13,C
2018-07-14,C
2018-07-15,C
2018-07-16,C
2018-07-17,C
2018-07-18,C
2018-07-19,C
2018-07-20,C
2018-07-21,C
2019-06-28,A
2019-06-29,A
2019-06-30,A
2019-07-01,A
2019-07-02,A
2019-07-03,A
2019-07-04,A
2019-07-05,A
2019-07-06,A
2019-07-07,A
2019-07-08,D
2019-07-09,D
2019-07-10,D
2019-07-11,D
2019-07-12,D
2019-07-14,D
2019-07-15,E
2019-07-16,E
2019-07-17,E
2019-07-18,E
