RecordID,BUGNO,SEX,DATE,STATUS,PATCH
L7002,,,2017-06-28,Unmarked,C
L7003,1,M,2017-06-29,Marked,A
L7004,2,M,2017-06-29,Marked,A
L7005,,,2017-06-29,Unmarked,B
L7006,3,M,2017-06-29,Marked,B
L7007,,,2017-06-29,Unmarked,B
L7008,4,M,2017-06-29,Marked,B
L7009,5,,2017-06-29,Marked,B
L7010,6,M,2017-06-29,Marked,B
L7011,,,2017-06-30,Unmarked,A
L7012,,,2017-06-30,Unmarked,A
L7013,4,M,2017-06-30,Resighted,A
L7014,7,M,2017-06-30,Marked,C
L7015,,,2017-07-01,Unmarked,A
L7016,,,2017-07-01,Unmarked,A
L7017,,,2017-07-01,Unmarked,A
L7018,8,M,2017-07-01,Marked,A
L7019,9,F,2017-07-01,Marked,A
L7020,10,M,2017-07-01,Marked,A
L7021,4,M,2017-07-01,Resighted,B
L7022,6,M,2017-07-01,Resighted,B
L7023,,,2017-07-01,Unmarked,B
L7024,,,2017-07-01,Unmarked,B
L7025,11,M,2017-07-01,Marked,C
L7026,,,2017-07-01,Unmarked,C
L7027,12,F,2017-07-02,Marked,A
L7028,13,M,2017-07-02,Marked,A
L7029,1,M,2017-07-02,Resighted,A
L7030,14,M,2017-07-02,Marked,A
L7031,15,M,2017-07-02,Marked,A
L7032,16,M,2017-07-02,Marked,B
L7033,,,2017-07-02,Unmarked,B
L7034,17,M,2017-07-02,Marked,B
L7035,18,M,2017-07-02,Marked,B
L7036,19,M,2017-07-02,Marked,C
L7037,20,M,2017-07-02,Marked,C
L7038,21,M,2017-07-02,Marked,C
L7039,22,F,2017-07-03,Marked,A
L7040,,,2017-07-03,Unmarked,A
L7041,,,2017-07-03,Unmarked,A
L7042,,,2017-07-03,Unmarked,A
L7043,16,M,2017-07-03,Resighted,B
L7044,23,M,2017-07-03,Marked,B
L7045,24,M,2017-07-03,Marked,B
L7046,25,M,2017-07-03,Marked,B
L7047,26,F,2017-07-03,Marked,C
L7048,27,M,2017-07-03,Marked,C
L7049,28,M,2017-07-03,Marked,C
L7050,21,M,2017-07-03,Resighted,C
L7051,29,M,2017-07-03,Marked,C
L7052,,,2017-07-03,Unmarked,C
L7053,,,2017-07-03,Unmarked,C
L7054,,,2017-07-03,Unmarked,C
L7055,30,F,2017-07-03,Marked,C
L7056,10,M,2017-07-04,Resighted,A
L7057,8,M,2017-07-04,Resighted,A
L7058,3,M,2017-07-04,Resighted,B
L7059,16,M,2017-07-04,Resighted,B
L7060,,,2017-07-04,Unmarked,B
L7061,17,M,2017-07-04,Resighted,B
L7062,,,2017-07-04,Unmarked,B
L7063,31,M,2017-07-04,Marked,B
L7064,25,M,2017-07-04,Resighted,B
L7065,32,M,2017-07-04,Marked,B
L7066,27,M,2017-07-04,Resighted,C
L7067,33,F,2017-07-04,Marked,C
L7068,34,M,2017-07-04,Marked,C
L7069,35,M,2017-07-04,Marked,C
L7070,,,2017-07-04,Unmarked,C
L7071,13,M,2017-07-05,Resighted,A
L7072,,,2017-07-05,Unmarked,A
L7073,3,M,2017-07-05,Resighted,B
L7074,16,M,2017-07-05,Resighted,B
L7075,36,M,2017-07-05,Marked,B
L7076,,M,2017-07-05,Unmarked,B
L7077,,F,2017-07-05,Unmarked,B
L7078,,,2017-07-05,Unmarked,B
L7079,11,M,2017-07-05,Resighted,C
L7080,7,M,2017-07-05,Resighted,C
L7081,21,M,2017-07-05,Resighted,C
L7082,37,M,2017-07-05,Marked,C
L7083,34,M,2017-07-05,Resighted,C
L7084,38,F,2017-07-05,Marked,C
L7085,,,2017-07-05,Unmarked,C
L7086,35,M,2017-07-05,Resighted,C
L7087,32,M,2017-07-05,Resighted,B
L7088,24,M,2017-07-05,Resighted,B
L7089,1,M,2017-07-06,Resighted,A
L7090,13,M,2017-07-06,Resighted,A
L7091,93,M,2017-07-06,Marked,A
L7092,12,F,2017-07-06,Resighted,A
L7093,10,M,2017-07-06,Resighted,A
L7094,,,2017-07-06,Unmarked,A
L7095,,,2017-07-06,Unmarked,B
L7096,36,M,2017-07-06,Resighted,B
L7097,24,M,2017-07-06,Resighted,B
L7098,39,F,2017-07-06,Marked,B
L7099,,,2017-07-06,Unmarked,B
L7100,19,M,2017-07-06,Resighted,C
L7101,11,M,2017-07-06,Resighted,C
L7102,26,F,2017-07-06,Resighted,C
L7103,40,F,2017-07-06,Marked,C
L7104,7,M,2017-07-06,Resighted,C
L7105,41,M,2017-07-06,Marked,C
L7106,42,F,2017-07-06,Marked,C
L7107,37,M,2017-07-06,Resighted,C
L7108,,,2017-07-06,Unmarked,C
L7109,,,2017-07-06,Unmarked,C
L7110,43,M,2017-07-06,Marked,C
L7111,44,M,2017-07-06,Marked,C
L7112,45,F,2017-07-06,Marked,C
L7113,145,F,2017-07-06,Marked,C
L7114,29,M,2017-07-06,Resighted,C
L7115,,,2017-07-07,Unmarked,A
